NAME,pop_total_hispanic_base,pop_hispanic,LocationID,pct_hispanic
"Sedgwick County, Colorado",2346.0,437.0,08115,18.627450980392158
"Summit County, Colorado",30857.0,5218.0,08117,16.910263473442004
"Teller County, Colorado",24774.0,1831.0,08119,7.390812949059498
"Washington County, Colorado",4839.0,548.0,08121,11.324653854102088
"Weld County, Colorado",340711.0,103804.0,08123,30.46687661977453
"Yuma County, Colorado",9921.0,2862.0,08125,28.847898397338977
"Capitol Planning Region, Connecticut",969029.0,168439.0,09110,17.382245526191685
"Greater Bridgeport Planning Region, Connecticut",326296.0,85034.0,09120,26.060386887979014
"Lower Connecticut River Valley Planning Region, Connecticut",174983.0,13031.0,09130,7.447009138030551
"Naugatuck Valley Planning Region, Connecticut",452303.0,86804.0,09140,19.191559640329604
"Northeastern Connecticut Planning Region, Connecticut",95829.0,4839.0,09150,5.049619634974799
"Northwest Hills Planning Region, Connecticut",112848.0,9442.0,09160,8.36700694739827
"South Central Connecticut Planning Region, Connecticut",566803.0,108273.0,09170,19.102404186286947
"Southeastern Connecticut Planning Region, Connecticut",279025.0,40941.0,09180,14.672878774303378
"Western Connecticut Planning Region, Connecticut",621232.0,123865.0,09190,19.93860586705128
"Kent County, Delaware",185043.0,14649.0,10001,7.916538318120653
"New Castle County, Delaware",573030.0,65392.0,10003,11.41161893792646
"Sussex County, Delaware",247799.0,27788.0,10005,11.213927416979084
"District of Columbia, District of Columbia",672079.0,77760.0,11001,11.570068399697059
"Alachua County, Florida",281751.0,34392.0,12001,12.206522780753218
"Baker County, Florida",28186.0,1049.0,12003,3.7217058113957284
"Bay County, Florida",181368.0,15221.0,12005,8.39232940761325
"Bradford County, Florida",27888.0,1360.0,12007,4.876649454962708
"Brevard County, Florida",620533.0,72613.0,12009,11.701714493830304
"Broward County, Florida",1946127.0,621023.0,12011,31.91071291852998
"Calhoun County, Florida",13593.0,685.0,12013,5.039358493342162
"Charlotte County, Florida",195083.0,15278.0,12015,7.831538370847281
"Citrus County, Florida",158693.0,10329.0,12017,6.508793708607184
"Clay County, Florida",223436.0,24684.0,12019,11.047458780142861
"Collier County, Florida",387681.0,106446.0,12021,27.457110356194914
"Columbia County, Florida",70755.0,5258.0,12023,7.431276941558901
"DeSoto County, Florida",34719.0,10334.0,12027,29.76468216250468
"Dixie County, Florida",16952.0,759.0,12029,4.477347805568664
"Duval County, Florida",1007189.0,118365.0,12031,11.752014765848315
"Escambia County, Florida",323275.0,21413.0,12033,6.623772330059547
"Flagler County, Florida",121710.0,13595.0,12035,11.169994248623778
"Franklin County, Florida",12418.0,675.0,12037,5.43565791592849
"Gadsden County, Florida",43642.0,5180.0,12039,11.869300215388845
"Gilchrist County, Florida",18494.0,1378.0,12041,7.451065210338488
"Glades County, Florida",12324.0,3089.0,12043,25.06491398896462
"Gulf County, Florida",14772.0,656.0,12045,4.440834010289738
"Hamilton County, Florida",13445.0,1478.0,12047,10.992934176273709
"Hardee County, Florida",25508.0,10713.0,12049,41.99858867806178
"Hendry County, Florida",40798.0,23074.0,12051,56.556693955586056
"Hernando County, Florida",201512.0,32348.0,12053,16.052642026281312
"Highlands County, Florida",103808.0,22310.0,12055,21.49159987669544
"Hillsborough County, Florida",1489634.0,441871.0,12057,29.663058174021266
"Holmes County, Florida",19626.0,697.0,12059,3.551411393050036
"Indian River County, Florida",163856.0,22009.0,12061,13.43191582853237
"Jackson County, Florida",47652.0,2432.0,12063,5.103668261562999
"Jefferson County, Florida",14713.0,704.0,12065,4.784884116087813
"Lafayette County, Florida",8035.0,956.0,12067,11.897946484131923
"Lake County, Florida",398696.0,71545.0,12069,17.944749884623874
"Lee County, Florida",792692.0,187055.0,12071,23.597437592406635
"Leon County, Florida",295335.0,23394.0,12073,7.92117425973894
"Levy County, Florida",44276.0,4365.0,12075,9.858614147619479
"Liberty County, Florida",7650.0,544.0,12077,7.111111111111111
"Madison County, Florida",18113.0,1005.0,12079,5.548501076574835
"Manatee County, Florida",416020.0,74279.0,12081,17.85467044853613
"Marion County, Florida",387697.0,61736.0,12083,15.923775525732726
"Martin County, Florida",160464.0,24690.0,12085,15.386628776548012
"Miami-Dade County, Florida",2685296.0,1846781.0,12086,68.77383349917477
"Monroe County, Florida",81840.0,19611.0,12087,23.962609970674485
